spicy,category_id,category_name,category_icon,name,price,lunch,count,description
,beef_lamb_pork,"Beef, Lamb, Pork",,Shandong Shiitake Mushroom Pork,$10.95,,,"Julienned pork sautéed with Napa cabbage, whole shiitake mushrooms, and ginger served in our house sauce."
yes,beef_lamb_pork,"Beef, Lamb, Pork",,Hunan Hot Pepper Pork,$10.95,,,Julienned pork stir-fried with jalapeno pepper and onions in a spicy Sichuan sauce.
yes,chicken,Chicken,turkey7.svg,Spicy Dry Fried Chicken,$10.95,$6.95,,"Deep-fried battered chicken chunks tossed with Xiao Loong’s sweet garlic pepper sauce. A very aromatic dish with minced ginger, garlic, chili pods, and green onions."
,chicken,Chicken,turkey7.svg,Lemon Chicken,$10.95,$6.95,,Golden fried sliced chicken breast with Xiao Loong’s sweet and tangy ginger lemon sauce topped with candied lemon zest and served over a bed of cabbage.
yes,chicken,Chicken,turkey7.svg,Xiao Loong’s House Chicken,$10.95,$6.95,,Sliced chicken breast with roasted red hot peppers and fermented black beans in a garlic-infused tangy wine sauce.
yes,chicken,Chicken,turkey7.svg,Cheng Bi Chicken,$10.95,,,Tender diced chicken sautéed with dried orange peel and roasted red hot peppers in our spicy garlic sauce.The hot wok draws the dried orange peel’s essential oils and imparts a citrus aroma to this delectable dish.
,chicken,Chicken,turkey7.svg,Garlic Chicken,$10.95,$6.95,,"Diced chicken, minced garlic, sliced shiitake mushrooms, and water chestnuts stir-fried in our house soy sauce."
,chicken,Chicken,turkey7.svg,Clay Pot Curry Chicken,$10.95,$6.95,,"Sliced chicken breast sautéed with yellow onions and bell peppers in our house blend of curry spices,  served in a sizzling hot clay pot."
,chicken,Chicken,turkey7.svg,Black Bean Chicken,$10.95,$6.95,,Sliced chicken breast stir-fried with fresh broccoli and baby corn in a black bean sauce accented with garlic and ginger.
yes,chicken,Chicken,turkey7.svg,Kung Pao Chicken,$10.95,$6.95,,"Diced chicken chunks sautéed with roasted red hot peppers, green onion bulbs, bell peppers, white onions,and fresh roasted peanuts tossed in our spicy Kung Pao sauce."
,chicken,Chicken,turkey7.svg,Shiitake Mushrooms and Chicken,$10.95,,,A generous serving of whole shiitake mushrooms stir-fried with sliced chicken breast in our house sauce.
,chicken,Chicken,turkey7.svg,Cashew Chicken,$10.95,$6.95,,"A mixture of fresh roasted cashews, diced chicken, green onion bulbs, bell peppers, and white onions stir-fried in our house sauce."
yes,chicken,Chicken,turkey7.svg,Hunan Peanut Chicken,$10.95,,,"Tender seasoned diced chicken and roasted peanuts dry sautéed with roasted red hot chili, garlic, diced green hot peppers, minced bell peppers, and onions."
,vegetables,Vegetables,broccoli.svg,Xiao Loong’s Vegetable Garden,$9.50,$6.95,,"Assorted fresh vegetables, stir-fried with chopped scallions and a light garlic-infused wine sauce."
,vegetables,Vegetables,broccoli.svg,Stir-Fried Spinach and Mung Bean Thread,$10.50,,,"Fresh spinach and delicate mung bean threads, stir-fried with a garlic wine sauce."
,vegetables,Vegetables,broccoli.svg,Fresh Spinach and Garlic,$10.50,,,Fresh spinach sautéed in a garlic wine sauce. A must for spinach lovers.
yes,vegetables,Vegetables,broccoli.svg,Spicy Sichuan Garlic Eggplant,$10.50,$6.95,,"Fresh Japanese eggplant, braised with our spicy Sichuan garlic sauce."
yes,vegetables,Vegetables,broccoli.svg,Dry Sautéed Green Beans or Asparagus,$10.5/$11.95,,,"Fresh green beans or asparagus, flash-fried and tossed with a mixture of fresh minced ginger, chopped garlic, minced preserved Chinese turnips, and roasted red hot peppers in our house soy sauce."
,vegetables,Vegetables,broccoli.svg,Shitake Mushrooms and Tender Baby Bok Choy,$10.50,$6.95,,"Tender whole shitake mushrooms and fresh baby bok choy, stir-fried with a light wine-garlic sauce."
yes,vegetables,Vegetables,broccoli.svg,Clay Pot Ma-Por Tofu,$10.50,$6.95,,"Diced tofu, braised with garlic and onions in a spicy Sichuan bean sauce, served table side in a sizzling hot clay pot."
yes,vegetables,Vegetables,broccoli.svg,Family Style Chili Pepper Tofu,$10.50,$6.95,,"Chunks of tofu, sautéed with julienned vegetables, bell peppers, roasted red hot peppers, and mung bean threads in a light oyster sauce."
,vegetables,Vegetables,broccoli.svg,Gai Lan,$11.00,,,"Fresh Chinese Broccoli blanched and sprinkled with sesame oil, served with oyster sauce on the side."
,vegetables,Vegetables,broccoli.svg,Snow Pea Sprouts and Garlic,$12.00,,,Fresh outdoor grown large snow pea tips sautéed with garlic and green onions.
,vegetables,Vegetables,broccoli.svg,Broccoli & Soft Tofu,$10.50,,,Soft tofu and broccoli simmered in a sliced garlic white sauce topped with nori and toasted sesame seeds.
,fried_rice,Fried Rice,,Vegetable Fried Rice,$7.95,$7.95,,"Jasmine white rice wok-fried with diced vegetables, fluffed eggs, peas, diced carrots, and green onions."
,fried_rice,Fried Rice,,"Chicken, Pork, or Beef Fried Rice",$7.95,$7.95,,"Jasmine white rice wok-fried with your choice of meat, fluffed eggs, peas, diced carrots, and green onions."
,fried_rice,Fried Rice,,Shrimp or Combination Fried Rice,$8.95,$8.95,,"Jasmine white rice wok-fried with your choice of either shrimp, or a combination of chicken, beef, and shrimp, fluffed eggs, peas, diced carrots, and green onions."
,mein_fun,Chow Mein and Chow Fun,Italian-food.svg,Vegetable Chow Mein or Chow Fun,$7.95,$7.95,,"Egg noodles or Chow fun noodles stir-fried with fresh vegetables including baby bok choy, snow peas, carrots, spinach, shiitake mushrooms, and green onions."
,mein_fun,Chow Mein and Chow Fun,Italian-food.svg,"Chicken, Pork, or Beef Chow Mein or Chow Fun",$7.95,$7.95,,"Egg noodles or Chow Fun noodles stir-fried with your choice of meat, fresh assorted vegetables, and green onions."
,mein_fun,Chow Mein and Chow Fun,Italian-food.svg,Shrimp or Combination Chow Mein or Chow Fun,$8.95,$8.95,,"Egg noodles or Chow Fun noodles stir-fried with your choice of either shrimp, or a combination of chicken, beef, and shrimp, fresh assorted vegetables, and green onions."
,rice,Steamed Rice,rice2.svg,Steamed Jasmine White rice per person,$2.00,,,
,rice,Steamed Rice,rice2.svg,Steamed Jasmine Brown rice per person,$2.00,,,
,mein_fun,Chow Mein and Chow Fun,Italian-food.svg,Hong Kong-style crispy Chow Mein noodles add,$2.00,$1.50,,
